"Date,Gold_Price,DXY_Index,Log_Gold,Log_DXY,Gold_Pct_Change,DXY_Pct_Change,ECT,Regime_Flag,Crisis_Name"
"1975-03-01,55.4,83.4,4.023,4.441,0.006,-0.001,8.028,Normal,Normal"
"1975-04-01,55.7,83.2,4.030,4.439,0.006,-0.002,8.035,Normal,Normal"
"1975-05-01,56.0,83.0,4.035,4.437,0.006,-0.002,8.040,Normal,Normal"
"1975-06-01,56.3,82.8,4.042,4.435,0.006,-0.002,8.047,Normal,Normal"
"1975-07-01,56.6,82.6,4.048,4.433,0.006,-0.002,8.053,Normal,Normal"
"1975-08-01,56.9,82.5,4.055,4.432,0.006,-0.001,8.060,Normal,Normal"
"1975-09-01,57.2,82.3,4.060,4.430,0.006,-0.002,8.065,Normal,Normal"
"1975-10-01,57.5,82.1,4.068,4.428,0.006,-0.002,8.073,Normal,Normal"
"1975-11-01,57.8,81.9,4.073,4.426,0.006,-0.002,8.078,Normal,Normal"
"1975-12-01,58.1,81.7,4.080,4.424,0.006,-0.002,8.085,Normal,Normal"
"1976-01-01,58.4,81.5,4.065,4.422,0.006,-0.002,8.090,Normal,Normal"
"1976-02-01,58.7,81.3,4.088,4.420,0.005,-0.002,8.098,Normal,Normal"
"1976-03-01,59.0,81.2,4.092,4.419,0.005,-0.001,8.102,Normal,Normal"
"1976-04-01,59.3,81.0,4.098,4.417,0.005,-0.002,8.108,Normal,Normal"
"1976-05-01,59.6,80.8,4.102,4.415,0.005,-0.002,8.112,Normal,Normal"
"1976-06-01,59.9,80.7,4.108,4.414,0.005,-0.001,8.118,Normal,Normal"
"1976-07-01,60.2,80.5,4.112,4.412,0.005,-0.002,8.122,Normal,Normal"
"1976-08-01,60.5,80.3,4.118,4.410,0.005,-0.002,8.128,Normal,Normal"
"1976-09-01,60.8,80.2,4.122,4.409,0.005,-0.001,8.132,Normal,Normal"
"1976-10-01,61.1,80.0,4.128,4.407,0.005,-0.002,8.138,Normal,Normal"
"1976-11-01,61.4,79.8,4.132,4.405,0.005,-0.002,8.142,Normal,Normal"
"1976-12-01,61.7,79.7,4.138,4.404,0.005,-0.001,8.148,Normal,Normal"
"1977-01-01,62.0,79.5,4.142,4.402,0.005,-0.002,8.152,Normal,Normal"
"1977-02-01,62.3,79.3,4.148,4.400,0.005,-0.002,8.158,Normal,Normal"
"1977-03-01,62.6,79.2,4.152,4.399,0.005,-0.001,8.162,Normal,Normal"
"1977-04-01,62.9,79.0,4.158,4.397,0.005,-0.002,8.168,Normal,Normal"
"1977-05-01,63.2,78.8,4.162,4.395,0.005,-0.002,8.172,Normal,Normal"
"1977-06-01,63.5,78.7,4.168,4.394,0.005,-0.001,8.178,Normal,Normal"
"1977-07-01,63.8,78.5,4.172,4.392,0.005,-0.002,8.182,Normal,Normal"
"1977-08-01,64.1,78.3,4.178,4.390,0.005,-0.002,8.188,Normal,Normal"
"1977-09-01,64.4,78.2,4.182,4.389,0.005,-0.001,8.192,Normal,Normal"
"1977-10-01,64.7,78.0,4.188,4.387,0.005,-0.002,8.198,Normal,Normal"
"1977-11-01,65.0,77.8,4.192,4.385,0.005,-0.002,8.202,Normal,Normal"
"1977-12-01,65.3,77.7,4.198,4.384,0.005,-0.001,8.208,Normal,Normal"
"1978-01-01,65.6,77.5,4.202,4.382,0.005,-0.002,8.212,Normal,Normal"
"1978-02-01,65.9,77.3,4.208,4.380,0.005,-0.002,8.218,Normal,Normal"
"1978-03-01,66.2,77.2,4.212,4.379,0.005,-0.001,8.222,Normal,Normal"
"1978-04-01,66.5,77.0,4.218,4.377,0.005,-0.002,8.228,Normal,Normal"
"1978-05-01,66.8,76.8,4.222,4.375,0.005,-0.002,8.232,Normal,Normal"
"1978-06-01,67.1,76.7,4.228,4.374,0.005,-0.001,8.238,Normal,Normal"
"1978-07-01,67.4,76.5,4.232,4.372,0.005,-0.002,8.242,Normal,Normal"
"1978-08-01,67.7,76.3,4.238,4.370,0.005,-0.002,8.248,Normal,Normal"
"1978-09-01,68.0,76.2,4.242,4.369,0.005,-0.001,8.252,Normal,Normal"
"1978-10-01,68.3,76.0,4.248,4.367,0.005,-0.002,8.258,Normal,Normal"
"1978-11-01,68.6,75.8,4.252,4.365,0.005,-0.002,8.262,Normal,Normal"
"1978-12-01,68.9,75.7,4.258,4.364,0.005,-0.001,8.268,Normal,Normal"
"1979-01-01,69.2,75.5,4.262,4.362,0.005,-0.002,8.272,Normal,Normal"
"1979-02-01,69.5,75.3,4.268,4.360,0.005,-0.002,8.278,Normal,Normal"
"1979-03-01,69.8,75.2,4.272,4.359,0.005,-0.001,8.282,Normal,Normal"
"1979-04-01,70.1,75.0,4.278,4.357,0.005,-0.002,8.288,Normal,Normal"
"1979-05-01,70.4,74.8,4.282,4.355,0.005,-0.002,8.292,Normal,Normal"
"1979-06-01,70.7,74.7,4.288,4.354,0.005,-0.001,8.298,Normal,Normal"
"1979-07-01,71.0,74.5,4.292,4.352,0.005,-0.002,8.302,Normal,Normal"
"1979-08-01,71.3,74.3,4.298,4.350,0.005,-0.002,8.308,Normal,Normal"
"1979-09-01,71.6,74.2,4.302,4.349,0.005,-0.001,8.312,Normal,Normal"
"1979-10-01,71.9,74.0,4.308,4.347,0.005,-0.002,8.318,Normal,Normal"
"1979-11-01,72.2,73.8,4.312,4.345,0.005,-0.002,8.322,Normal,Normal"
"1979-12-01,72.5,73.7,4.318,4.344,0.005,-0.001,8.328,Normal,Normal"
"1980-01-01,72.8,73.5,4.322,4.342,0.005,-0.002,8.332,Normal,Normal"
"1980-02-01,73.1,73.3,4.328,4.340,0.005,-0.002,8.338,Normal,Normal"
"1980-03-01,73.4,73.2,4.332,4.339,0.005,-0.001,8.342,Normal,Normal"
"1980-04-01,73.7,73.0,4.338,4.337,0.005,-0.002,8.348,Normal,Normal"
"1980-05-01,74.0,72.8,4.342,4.335,0.005,-0.002,8.352,Normal,Normal"
"1980-06-01,74.3,72.7,4.348,4.334,0.005,-0.001,8.358,Normal,Normal"
"1980-07-01,74.6,72.5,4.352,4.332,0.005,-0.002,8.362,Normal,Normal"
"1980-08-01,74.9,72.3,4.358,4.330,0.005,-0.002,8.368,Normal,Normal"
"1980-09-01,75.2,72.2,4.362,4.329,0.005,-0.001,8.372,Normal,Normal"
"1980-10-01,75.5,72.0,4.368,4.327,0.005,-0.002,8.378,Normal,Normal"
"1980-11-01,75.8,71.8,4.372,4.325,0.005,-0.002,8.382,Normal,Normal"
"1980-12-01,76.1,71.7,4.378,4.324,0.005,-0.001,8.388,Normal,Normal"
"1981-01-01,76.4,71.5,4.382,4.322,0.005,-0.002,8.392,Normal,Normal"
"1981-02-01,76.7,71.3,4.388,4.320,0.005,-0.002,8.398,Normal,Normal"
"1981-03-01,77.0,71.2,4.392,4.319,0.005,-0.001,8.402,Normal,Normal"
"1981-04-01,77.3,71.0,4.398,4.317,0.005,-0.002,8.408,Normal,Normal"
"1981-05-01,77.6,70.8,4.402,4.315,0.005,-0.002,8.412,Normal,Normal"
"1981-06-01,77.9,70.7,4.408,4.314,0.005,-0.001,8.418,Normal,Normal"
"1981-07-01,78.2,70.5,4.412,4.312,0.005,-0.002,8.422,Normal,Normal"
"1981-08-01,78.5,70.3,4.418,4.310,0.005,-0.002,8.428,Normal,Normal"
"1981-09-01,78.8,70.2,4.422,4.309,0.005,-0.001,8.432,Normal,Normal"
"1981-10-01,79.1,70.0,4.428,4.307,0.005,-0.002,8.438,Normal,Normal"
"1981-11-01,79.4,69.8,4.432,4.305,0.005,-0.002,8.442,Normal,Normal"
"1981-12-01,79.7,69.7,4.438,4.304,0.005,-0.001,8.448,Normal,Normal"
"1982-01-01,80.0,69.5,4.442,4.302,0.005,-0.002,8.452,Normal,Normal"
"1982-02-01,80.3,69.3,4.448,4.300,0.005,-0.002,8.458,Normal,Normal"
"1982-03-01,80.6,69.2,4.452,4.299,0.005,-0.001,8.462,Normal,Normal"
"1982-04-01,80.9,69.0,4.458,4.297,0.005,-0.002,8.468,Normal,Normal"
"1982-05-01,81.2,68.8,4.462,4.295,0.005,-0.002,8.472,Normal,Normal"
"1982-06-01,81.5,68.7,4.468,4.294,0.005,-0.001,8.478,Normal,Normal"
"1982-07-01,81.8,68.5,4.472,4.292,0.005,-0.002,8.482,Normal,Normal"
"1982-08-01,82.1,68.3,4.478,4.290,0.005,-0.002,8.488,Normal,Normal"
"1982-09-01,82.4,68.2,4.482,4.289,0.005,-0.001,8.492,Normal,Normal"
"1982-10-01,82.7,68.0,4.488,4.287,0.005,-0.002,8.498,Normal,Normal"
"1982-11-01,83.0,67.8,4.492,4.285,0.005,-0.002,8.502,Normal,Normal"
"1982-12-01,83.3,67.7,4.498,4.284,0.005,-0.001,8.508,Normal,Normal"
"1983-01-01,83.6,67.5,4.502,4.282,0.005,-0.002,8.512,Normal,Normal"
"1983-02-01,83.9,67.3,4.508,4.280,0.005,-0.002,8.518,Normal,Normal"
"1983-03-01,84.2,67.2,4.512,4.279,0.005,-0.001,8.522,Normal,Normal"
"1983-04-01,84.5,67.0,4.518,4.277,0.005,-0.002,8.528,Normal,Normal"
"1983-05-01,84.8,66.8,4.522,4.275,0.005,-0.002,8.532,Normal,Normal"
"1983-06-01,85.1,66.7,4.528,4.274,0.005,-0.001,8.538,Normal,Normal"
"1992-05-01,342.0,92.1,5.835,4.523,0.012,-0.001,10.838,Normal,Normal"
"1992-06-01,343.2,92.3,5.837,4.525,0.004,0.002,10.846,Normal,Normal"
"1992-07-01,344.5,92.4,5.841,4.526,0.004,0.001,10.849,Normal,Normal"
"1992-08-01,345.7,92.5,5.844,4.527,0.004,0.001,10.853,Normal,Normal"
"1992-09-01,346.9,92.7,5.848,4.529,0.004,0.002,10.857,Normal,Normal"
"1992-10-01,348.2,92.8,5.851,4.530,0.004,0.001,10.861,Normal,Normal"
"1992-11-01,349.4,92.9,5.854,4.531,0.004,0.001,10.865,Normal,Normal"
"1992-12-01,350.6,93.1,5.858,4.533,0.004,0.002,10.869,Normal,Normal"
"1993-01-01,351.9,93.2,5.861,4.534,0.004,0.001,10.873,Normal,Normal"
"1993-02-01,353.1,93.3,5.864,4.535,0.004,0.001,10.877,Normal,Normal"
"1993-03-01,354.4,93.5,5.868,4.537,0.004,0.002,10.881,Normal,Normal"
"1993-04-01,355.6,93.6,5.871,4.538,0.004,0.001,10.885,Normal,Normal"
"1993-05-01,356.9,93.7,5.874,4.539,0.004,0.001,10.889,Normal,Normal"
"1993-06-01,358.1,93.9,5.878,4.541,0.004,0.002,10.893,Normal,Normal"
"1993-07-01,359.4,94.0,5.881,4.542,0.004,0.001,10.897,Normal,Normal"
"1993-08-01,360.6,94.1,5.884,4.543,0.004,0.001,10.901,Normal,Normal"
"1993-09-01,361.9,94.3,5.888,4.545,0.004,0.002,10.905,Normal,Normal"
"1993-10-01,363.1,94.4,5.891,4.546,0.004,0.001,10.909,Normal,Normal"
"1993-11-01,364.4,94.5,5.894,4.547,0.004,0.001,10.913,Normal,Normal"
"1993-12-01,365.6,94.7,5.898,4.549,0.004,0.002,10.917,Normal,Normal"
"1994-01-01,366.9,94.8,5.901,4.550,0.004,0.001,10.921,Normal,Normal"
"1994-02-01,368.1,94.9,5.904,4.551,0.004,0.001,10.925,Normal,Normal"
"1994-03-01,369.4,95.1,5.908,4.553,0.004,0.002,10.929,Normal,Normal"
"1994-04-01,370.6,95.2,5.911,4.554,0.004,0.001,10.933,Normal,Normal"
"1994-05-01,371.9,95.3,5.914,4.555,0.004,0.001,10.937,Normal,Normal"
"1994-06-01,373.1,95.5,5.918,4.557,0.004,0.002,10.941,Normal,Normal"
"1994-07-01,374.4,95.6,5.921,4.558,0.004,0.001,10.945,Normal,Normal"
"1994-08-01,375.6,95.7,5.924,4.559,0.004,0.001,10.949,Normal,Normal"
"1994-09-01,376.9,95.9,5.928,4.561,0.004,0.002,10.953,Normal,Normal"
"1994-10-01,378.1,96.0,5.931,4.562,0.004,0.001,10.957,Normal,Normal"
"1994-11-01,379.4,96.1,5.934,4.563,0.004,0.001,10.961,Normal,Normal"
"1994-12-01,380.6,96.3,5.938,4.565,0.004,0.002,10.965,Normal,Normal"
"1995-01-01,381.9,96.4,5.941,4.566,0.004,0.001,10.969,Normal,Normal"
"1995-02-01,383.1,96.5,5.944,4.567,0.004,0.001,10.973,Normal,Normal"
"1995-03-01,384.4,96.7,5.948,4.569,0.004,0.002,10.977,Normal,Normal"
"1995-04-01,385.6,96.8,5.951,4.570,0.004,0.001,10.981,Normal,Normal"
"1995-05-01,386.9,96.9,5.954,4.571,0.004,0.001,10.985,Normal,Normal"
"1995-06-01,388.1,97.1,5.958,4.573,0.004,0.002,10.989,Normal,Normal"
"1995-07-01,389.4,97.2,5.961,4.574,0.004,0.001,10.993,Normal,Normal"
"1995-08-01,390.6,97.3,5.964,4.575,0.004,0.001,10.997,Normal,Normal"
"1995-09-01,391.9,97.5,5.968,4.577,0.004,0.002,11.001,Normal,Normal"
"1995-10-01,393.1,97.6,5.971,4.578,0.004,0.001,11.005,Normal,Normal"
"1995-11-01,394.4,97.7,5.974,4.579,0.004,0.001,11.009,Normal,Normal"
"1995-12-01,395.6,97.9,5.978,4.581,0.004,0.002,11.013,Normal,Normal"
"1996-01-01,396.9,98.0,5.981,4.582,0.004,0.001,11.017,Normal,Normal"
"1996-02-01,398.1,98.1,5.984,4.583,0.004,0.001,11.021,Normal,Normal"
"1996-03-01,399.4,98.3,5.988,4.585,0.004,0.002,11.025,Normal,Normal"
"1996-04-01,400.6,98.4,5.991,4.586,0.004,0.001,11.029,Normal,Normal"
"1996-05-01,401.9,98.5,5.994,4.587,0.004,0.001,11.033,Normal,Normal"
"1996-06-01,403.1,98.7,5.998,4.589,0.004,0.002,11.037,Normal,Normal"
"1996-07-01,404.4,98.8,6.001,4.590,0.004,0.001,11.041,Normal,Normal"
"1996-08-01,405.6,98.9,6.004,4.591,0.004,0.001,11.045,Normal,Normal"
"1996-09-01,406.9,99.1,6.008,4.593,0.004,0.002,11.049,Normal,Normal"
"1996-10-01,408.1,99.2,6.011,4.594,0.004,0.001,11.053,Normal,Normal"
"1996-11-01,409.4,99.3,6.014,4.595,0.004,0.001,11.057,Normal,Normal"
"1996-12-01,410.6,99.5,6.018,4.597,0.004,0.002,11.061,Normal,Normal"
"1997-01-01,411.9,99.6,6.021,4.598,0.004,0.001,11.065,Normal,Normal"
"2008-07-01,872.0,83.4,6.771,4.426,0.024,0.003,10.899,Crisis_Hug,2008 GFC"
"2008-08-01,882.5,83.6,6.783,4.428,0.012,0.002,10.872,Crisis_Hug,2008 GFC"
"2008-09-01,902.0,83.8,6.805,4.430,0.022,0.002,10.860,Crisis_Hug,2008 GFC"
"2008-10-01,912.5,84.0,6.815,4.432,0.012,0.002,10.853,Crisis_Hug,2008 GFC"
"2008-11-01,932.0,84.2,6.836,4.434,0.024,0.002,10.846,Crisis_Hug,2008 GFC"
"2008-12-01,952.5,84.4,6.859,4.436,0.022,0.002,10.839,Crisis_Hug,2008 GFC"
"2009-01-01,972.0,84.6,6.879,4.438,0.021,0.002,10.832,Normal,Normal"
"2009-02-01,982.5,84.8,6.892,4.440,0.011,0.002,10.825,Normal,Normal"
"2009-03-01,992.0,85.0,6.903,4.442,0.010,0.002,10.818,Normal,Normal"
"2009-04-01,1002.5,85.2,6.915,4.444,0.010,0.002,10.811,Normal,Normal"
"2009-05-01,1012.0,85.4,6.927,4.446,0.010,0.002,10.804,Normal,Normal"
"2009-06-01,1022.5,85.6,6.939,4.448,0.010,0.002,10.797,Normal,Normal"
"2009-07-01,1032.0,85.8,6.951,4.450,0.010,0.002,10.790,Normal,Normal"
"2009-08-01,1042.5,86.0,6.963,4.452,0.010,0.002,10.783,Normal,Normal"
"2009-09-01,1052.0,86.2,6.975,4.454,0.010,0.002,10.776,Normal,Normal"
"2010-01-01,1102.0,87.0,7.005,4.466,0.010,0.002,10.750,Normal,Normal"
"2011-01-01,1250.0,88.5,7.131,4.480,0.012,0.003,10.750,Crisis_Hug,2011 Gold Surge"
"2012-01-01,1575.0,79.0,7.361,4.369,0.026,-0.014,10.800,Crisis_Hug,2012 Euro Crisis"
"2013-01-01,1200.0,80.0,7.090,4.382,-0.041,0.014,10.858,Normal,Normal"
"2014-01-01,1240.0,81.0,7.124,4.394,0.033,0.012,10.875,Normal,Normal"
"2015-01-01,1050.0,98.0,6.956,4.585,-0.153,0.206,11.182,Crisis_Hug,2015 USD Shock"
"2020-03-01,1600.0,102.0,7.377,4.625,0.048,0.008,11.459,Crisis_Hug,2020 COVID"
"2020-04-01,1650.0,100.0,7.409,4.605,0.031,-0.020,11.521,Crisis_Hug,2020 COVID"
"2020-05-01,1720.0,98.0,7.452,4.585,0.042,-0.020,11.558,Crisis_Hug,2020 COVID"
"2022-01-01,1800.0,120.0,7.495,4.787,0.028,0.016,11.593,Crisis_Hug,2022 Inflation"
"2022-06-01,1850.0,125.0,7.525,4.828,0.028,0.042,11.605,Crisis_Hug,2022 Inflation"
"2023-01-01,1920.0,130.0,7.558,4.867,0.038,0.040,11.621,Normal,Normal"
"2024-01-01,1950.0,132.0,7.574,4.883,0.016,0.015,11.631,Normal,Normal"
"2025-01-01,2000.0,135.0,7.601,4.905,0.026,0.017,11.643,Normal,Normal"
"2025-12-01,2025.0,138.0,7.616,4.927,0.013,0.016,11.649,Normal,Normal"
